business_id,name,address,latitude,longitude,stars,review_count,is_open,categories
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,39.9555052,-75.1555641,4.0,80,1,"Food, Bubble Tea, Coffee & Tea, Bakeries"
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,39.953949,-75.1432262,4.0,245,1,"Sushi Bars, Japanese"
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,39.943223,-75.162568,4.5,205,1,Korean
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,39.9398245705,-75.1574465632,4.0,65,0,"Cocktail Bars, Bars, Italian, Nightlife"
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,40.0224662,-75.218314,3.0,41,0,"Pizza, Salad, Soup"
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,39.9625821,-75.1356571,3.5,65,1,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food"
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,39.954573,-75.1948936,3.0,56,1,"Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores"
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,39.963077709,-75.1680274529,3.0,137,1,Chinese
WYYdQDjx-DsCanlP0DpImQ,J Sushi,243 S 10th St,39.9470334,-75.1574339,4.5,72,0,"Seafood, Sushi Bars, Japanese"
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,700 E. Hunting Park,40.012141,-75.1150148,1.5,15,1,"Burgers, Fast Food"
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,39.9385518,-75.1496356,4.5,183,1,"Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea"
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,39.9516153765,-75.2033457223,4.0,46,0,"Shanghainese, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars"
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,2609 Edgemont St,39.9768798,-75.1161695,4.5,12,1,"Food, Bakeries"
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,219 S 52nd St,39.9563959,-75.2253784,4.5,66,1,"Cupcakes, Caribbean, Trinidadian, Food, Bakeries, Cafes"
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,300 South St,39.9412993,-75.1477446,3.0,178,0,"Tex-Mex, American (Traditional), Nightlife, Bars"
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,2101 Pennsylvania Ave,39.963042,-75.1741858944,4.5,11,1,"Sandwiches, Chicken Wings, Donuts, Food"
V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,"1900 Grant Ave, Ste M-N",40.0839955,-75.0354963,2.5,6,0,"Ethnic Food, Specialty Food, Food, Pizza"
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,824 S 8th St,39.9389483,-75.1564078,4.0,79,0,"Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars"
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,1128 S Broad St,39.9368911,-75.1672837,2.5,16,1,Fast Food
dChRGpit9fM_kZK5pafNyA,The Love,130 S 18th St,39.9506555,-75.1708991,4.0,618,1,"American (New), Breakfast & Brunch, Burgers"
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,6600 N 5th St,40.0520643,-75.1273939,4.5,351,1,Korean
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,509 S 2nd St,39.9418766,-75.1451988,4.0,604,1,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife"
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,"2400 Market St, Ste 427",39.9535919923,-75.1794226902,3.5,163,0,French
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,"4514 B City Line Ave, Ste 220",40.0027825,-75.2222705,3.0,52,0,"Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)"
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,930 Locust St,39.947207,-75.1572515,4.0,217,0,Indian
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,700 S 5th St,39.9408715785,-75.1510468125,4.0,166,0,"Cocktail Bars, American (New), Desserts, American (Traditional), Nightlife, Bars, Food"
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,9711 Roosevelt Blvd,40.08178,-75.0267907,4.0,80,1,"Event Planning & Services, American (Traditional), Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch"
CPgWuWGZ4v2sZr5_-1kluw,Checkers,1208 N. Broad,39.9719414,-75.159771,2.0,21,1,"Fast Food, Burgers"
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,1120 Buttonwood St,39.960811,-75.1573883,4.0,31,1,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Burgers, Delis"
PW5eZM5RAQEhy3wgovChhQ,Cafe Victoria's,325 N 12th St,39.958422,-75.158257,3.0,29,0,"Food, Cafes, Coffee & Tea, Breakfast & Brunch"
yFqq66GxRjnhZXPgjA6hnw,KFC,716 Adams Ave,40.031578,-75.104787,2.0,7,1,"Chicken Shop, Fast Food, Chicken Wings"
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,272 S 20th St,39.948365,-75.1744997,4.0,28,1,Indian
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,501 Franklin Mill Cir,40.0884161,-74.9650112,1.5,20,1,"Fast Food, Food, Coffee & Tea, Burgers"
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,629 S 2nd St,39.9403745,-75.1456109,3.5,44,0,"Nightlife, Bars, Beer, Wine & Spirits, Pubs, Irish, Food"
PdMXmOWDRHICAx6SLgu1dQ,24,2401 Walnut St,39.9515211,-75.1798731,3.5,111,0,"Italian, Bars, Nightlife, Wine Bars, Breakfast & Brunch"
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,4914 Baltimore Ave,39.94796,-75.22198,4.0,301,1,"Diners, Sandwiches, Breakfast & Brunch, Vegetarian"
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,2000 Market St,39.953291,-75.173645,4.0,65,1,"Delis, Salad, Sandwiches"
MYoRNLb5chwjQe3c_k37Gg,Sean Thorntons Public House,2401 E Allegheny Ave,39.988107,-75.105553,3.5,6,1,"Food, Nightlife, Irish Pub, Bars, Irish, Pubs, Beer, Wine & Spirits, Event Planning & Services, Gastropubs, Caterers"
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,1411 Walnut St,39.949603,-75.1649701595,3.5,149,0,"Steakhouses, Nightlife, Seafood, Bars, American (Traditional)"
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,820 N Broad St,39.9686973,-75.1606146,4.5,138,1,"Trinidadian, Caribbean, Seafood"
RrqRin8BYGrTlJbCDwtLzA,Wawa,3744 Spruce St,39.9510885597,-75.1989988336,3.5,50,1,"Delis, Gas Stations, Food, Convenience Stores, Automotive, Coffee & Tea, Sandwiches"
IgNDlyLERBwFGphgcC5VDQ,Cosi,1128 Walnut St,39.9487514826,-75.1604487143,2.5,63,0,"Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, American (New)"
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,915 Race St,39.955454,-75.1549,4.0,92,0,"Ramen, Japanese"
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,6151 Ridge Ave,40.0352350987,-75.2167929785,3.0,54,1,Pizza
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,3124 Richmond St,39.9822933,-75.1031599,4.5,29,1,"Bars, Food, Beer, Wine & Spirits, American (Traditional), Nightlife"
4TQMOy00KD_54xSFwKgMZw,Ndulge,4373 Main St,40.025842293,-75.2243893677,3.5,15,0,"Thai, Food, Cafes, Cupcakes"
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,7235 Rising Sun Ave,40.0603863,-75.0845897,4.5,116,1,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Beer, Wine & Spirits, Gastropubs"
V6Om7YZhlRQRU7WfuxHq8Q,Beck's Cajun Cafe,51 N 12th St,39.9533224742,-75.1590000821,4.0,485,1,Cajun/Creole
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,610 S 5th St,39.9415201345,-75.1509702725,4.5,159,1,"Malaysian, Burmese, Asian Fusion, Thai"
I4TFiNX5gTsJBnEGH2Tl8Q,Benna's West,1444 S Broad St,39.931855,-75.168473,3.5,47,0,"Juice Bars & Smoothies, Sandwiches, Food, Coffee & Tea"
PvT44WlqJLkUrCITo6AjRA,Breakfast Boutique Chestnut Hill,8630 Germantown Ave,40.0771492176,-75.2087070076,3.0,151,1,Breakfast & Brunch
