loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,issue_date,use,debt_loan_ratio,del_in_18month,known_outstanding_loan,known_dero,pub_dero_bankrup,early_return,early_return_amount,early_return_amount_3mon,isDefault
1040418,240418,31818.18182,3,11.466,1174.91,C,政府机构,金融业,3 years,0,2016/10/1,2,2.43,0,3,0,0,3,9927,0,0
1025197,225197,28000,5,16.841,670.69,C,政府机构,金融业,10+ years,0,2013/6/1,0,11.00454545,1,3,0,0,0,0,0,0
1009360,209360,17272.72727,3,8.9,603.32,A,政府机构,公共服务、社会组织,10+ years,1,2014/1/1,4,6.409090909,0,5,0,0,0,0,0,0
1039708,239708,20000,3,4.788,602.3,A,世界五百强,文化和体育业,6 years,0,2015/7/1,0,9.204545455,0,3,0,0,0,0,0,0
1027483,227483,15272.72727,3,12.79,470.31,C,政府机构,信息传输、软件和信息技术服务业,< 1 year,2,2016/7/1,0,15.57818182,0,15,0,0,0,0,0,0
1047529,247529,25454.54545,3,10.637,899.15,B,幼教与中小学校,信息传输、软件和信息技术服务业,10+ years,0,2013/11/1,0,15.80727273,0,4,0,0,0,0,0,0
1030964,230964,9090.909091,5,15.741,234.3,C,高等教育机构,金融业,10+ years,1,2014/12/1,0,4.243636364,1,9,1,1,0,0,0,0
1024822,224822,10288.63636,3,11.49,414.62,B,普通企业,制造业,2 years,1,2017/3/1,4,2.227272727,0,4,0,0,0,0,0,0
1008720,208720,6818.181818,3,20.064,272.05,D,普通企业,金融业,,0,2014/7/1,0,22.93090909,0,9,1,1,0,0,0,0
1045305,245305,10800,3,14.33,339.95,C,幼教与中小学校,住宿和餐饮业,4 years,1,2013/7/1,0,21.22363636,0,8,0,0,0,0,0,0
1007760,207760,14727.27273,5,12.897,421.92,C,政府机构,建筑业,3 years,1,2013/7/1,0,24.5,0,18,0,0,0,0,0,0
1042906,242906,6400,3,20.889,234.57,E,幼教与中小学校,金融业,,2,2014/10/1,0,37.56,1,8,0,0,0,0,0,0
1047890,247890,29454.54545,3,6.489,1115.04,A,政府机构,电力、热力生产供应业,< 1 year,2,2017/10/1,0,29.72454545,0,24,0,0,0,0,0,0
1049951,249951,1636.363636,3,17.091,65.98,D,普通企业,住宿和餐饮业,10+ years,1,2016/5/1,0,23.14,0,6,2,0,0,0,0,1
1043543,243543,20415.90909,5,15.291,429.24,D,普通企业,电力、热力生产供应业,10+ years,0,2015/7/1,0,29.40909091,0,6,0,0,0,0,0,0
1020746,220746,5500,3,12.62,184.32,C,普通企业,住宿和餐饮业,,1,2018/2/1,0,36.76363636,1,10,0,0,0,0,0,0
1010877,210877,35000,5,12.69,790.82,C,上市企业,建筑业,3 years,0,2015/4/1,0,27.45,0,17,0,0,0,0,0,1
1015159,215159,7090.909091,3,6.615,186.23,A,普通企业,金融业,3 years,0,2017/12/1,0,20.71636364,0,11,0,0,0,0,0,0
1001504,201504,20454.54545,3,6.291,771.82,A,普通企业,公共服务、社会组织,1 year,0,2015/2/1,4,14.95454545,0,10,1,0,0,0,0,0
1020141,220141,8181.818182,5,17.171,241.12,D,普通企业,金融业,10+ years,1,2015/3/1,4,14.13636364,1,7,0,0,0,0,0,1
