label,processed_text
1,更博 了 爆照 了 帅 的 呀 就是 越来越 爱 你 生快 傻 缺爱 你 爱 你 爱 你
1,哦 是 双子 男 吗 旅游 版组 的 成分 好 复杂 呢 抱抱   玫瑰 禁 欢迎 双子 男 秦洲 同 赶紧 加上 V 要不然 走 丢 了 不好 找雨齐 Daisy 不错呀   新 同事 要加 V 么   伊比利亚 火腿
1,哈 南非 一孙   妹莉 十足 回复 共乐 壶 天 南非 第一 孙子 哈哈哈哈 哈哈哈哈   共乐 壶 天 南非 第一 孙子 独臂 老宋   妹莉 十足
1,偶爱 土豆 哈哈
1,挺 好玩儿 的 过年 更 充实 了 太 开心   母其弥雅 初一 我 一起 吃素 吧 得 不要 吃 稀 洗澡 和 睡午 喔
1,哈哈 太像 了 太 像 了
1,别 客气 嘛 太 开心 小狗狗 有家 了 我 就 开心 了 爱 你
1,还 在 老挝 么 佛教 国家 会 让 你 感到 一种 难得 的 心灵 安定 这种 安定 感是 弥漫 在 空气 中 的 上次 在 吴哥 和 一位 僧侣 用 英文 聊 佛法 很 长见识 当时 就 想 不 走 了 嘻嘻
1,哈哈 太空 闪光   南方 的 同胞 联合 起来 提案 我要 暖气 起床 靠 毅力 洗澡 靠 勇气 的 转
1,阳光 梦想 经常 会 变成 挑战 而 我们 正是 因为 挑战 而活 Hi 粉粉们 这 一周 你 的 挑战 是 什么 嘻嘻
1,嗯 经典 丶 私房 菜 爱 原本 就是 一种 习惯 爱 你     教 您 做 睿智 女人
1,原来 是 这个 原因 哈哈 恭喜 现在 X 子 中心 也 联系 好 了 你 可以 安心 了 哈哈 FOUR 你 懂 的     汤小雯 Lareina 祝 小媳妇 和 小 小马 感情 长长 久久 婚姻 历久弥新
1,嘻嘻 继续 努力 拍 更好
1,璐   再 我 一遍   嘿嘿 计划 去 日本 工作 定 了 就 去 近期 去 看 您 太 开心 好 邀 几个 朋友 一起 去
1,泪 一路顺风 别忘了 我滴 明信片 哇要 大家 签名 合体 版 的 行者 橙子   穆杉伯 男   赵 小牛 618 出发 了 兴奋 的 根本 睡不着 大学毕业 后 已经 许久 没有 体验 过 单独 和 朋友 一起 出来 旅行 所以 特意 改走致 青春 路线 橙子 也 变成 了 睡 在 我 上铺 的 兄弟 嘻嘻
1,心爱 从来 没有 固定 的 模式 每 一个 细微 举动 都 是 表达 爱 最好 的 方式 花间 堂 在 许多 微不足道 的 动作 里 表达 满满的 爱意 爱 你
1,不用 怀疑 十二月 真的 是 可以 有 樱花 盛开 的 不 信来 大理 南涧县 无量山 看看 鼓掌
1,花样儿 花色 羊肉 馅儿 大饺 砸 即将 出 锅儿 鼓掌
1,偷笑 哈哈哈哈   rayka 我 以为 梯子 给 p 掉 了   褚小波 他 怎么 上去 的   rayka   哈哈哈 这个 笑 疯 了
1,我 觉得 浩浩 可以 应征 这个 品牌 的 小小 代言人 爱 你
1,微游 山东   早起 到 洪家 楼 教堂 转转 远远 挥挥手 要 和 济南 说 再见 了 谢谢 新浪 山东 旅游   的 热情 款待 这次 的 两湖 达 人 山东 行玩 的 很 嗨 很 尽兴 济南 和 我 想像中 真的 很 不 一样 干净 漂亮 宛若 江南 有 机会 还要 再来 爱 你 太想 看 济南 的 雪景 啦     湖北 旅游   我 在 这里 httptcnz8AqqOx
1,回复 人人 都 是 地行 仙 还给 我们 tips   赞 哈哈   人人 都 是 地行 仙郎 廷 精彩 回忆 第一次 入住 香港 朗豪 酒店 就 被 升级 为 套房 嘻嘻 记得 楼下 是 朗 豪坊 和 旺角 地铁站 逛街 和 去 迪士尼 乐园 很 方便 vivipeng   琛 琛 宝贝 91   aimin1028   地址 httptcnS7WyW5
1,回复 钝 勾 陈 我 这 只 镜头 是 被 无数 人 藐视 的 24105 哈哈   钝 勾 陈好 镜头 good 哈哈
1,setsuna   我 也 吃 到 啦 哈哈
1,三罚 三中 杰克逊 你 是 加勒比海 盗 附体 鼓掌
1,阳光灿烂 的 日子 来 玉林 建达店 庆祝 一下 吧 现在 莅临 玉林 烤鸭 建达店 会员 任意 消费 即享 王牌 烤鸭 半价 优惠 另享 10 积分 返还 啦 赞 会员 生日 还 可 获赠 50 元 代金券 礼物 多重 好礼 等 着 您 马上 走起 吧 鼓掌
1,回复 oururong 会动 的 会 向 你 打招呼 的 珊瑚 嘻嘻   oururong 这里 的 珊瑚 都 是 活 的 凯恩斯 的 珊瑚 我们 看到 的 都 是 灰白 的 死 的
1,如果 有人 晓得 我 的 烦恼 此刻 一定 也 在 赖床 嘻嘻
1,回复 杨勋 923 哈哈哈哈 偷笑 眠 琴 山房   黄 燎原   张晓刚   老虎 张   李冰 Art   王易 罡   黑子 张骏   白东亮 小白   杨勋 923 赞同 周叔 支持 多 进球 阿 鼓掌 嘻嘻   周春芽 回复 杨勋 923 我 对 这 两个 队 都 木有 感情 所以 他们 只要 进攻 我 都 支持 嘿嘿 多多 进球 哈哈
1,哈哈哈哈 带 着 微博去 旅行 神马 浮云
1,想到 是 肯德 坐得 翁利 哈哈
1,祝 培训 顺利 欢迎 下次 光临 雅阁 集团 成员 酒店 嘻嘻
1,CCTV9 最近 播 的 纪录片 味道 中山 很 不错 比 春节 期间 的 味道 好太多 了 看来 潮汕   顺德   还要 加上 中山 嘻嘻   我 在 httptcn8FTSXer
1,水木 锦堂 铁板烧   2010 年 知道 的 这个 品牌 一直 没 去过 今儿 来 东大桥 新店 吃 下蛋 挞 巨 好吃 芝士 扇贝 京城 美食 探店   说 的 真 没错儿 爱 你 原来 没 吃 对 地方 几经 放弃 了 铁板 和 寿司 现在 又 重拾 兴趣 肉类 也 很 鲜嫩 第 4 张 照片 是 哥儿 仨 贝勒 orz   大胃 王在加 单靠 谱 吃货   大师 在 拍片 儿   httptcnz8ARpFN
